X,Y,NAD_X,NAD_Y,FC,HFI,pop
703128.1288,5408794.451,1784920.68,656785.51,0.165784084,194.2450319,0
704128.1288,5408794.451,1788199.86,656691.8699,0.076499736,34.97246033,0
705128.1288,5408794.451,1791479.023,656598.2241,0.209072477,0.018407144,0
706128.1288,5408794.451,1794758.169,656504.5727,0.254407705,0.449927167,0
707128.1288,5408794.451,1798037.298,656410.9156,0.2922493,82.74580598,0.061347086
708128.1288,5408794.451,1801316.41,656317.2529,0.452908034,206.1078128,0.056791851
709128.1288,5408794.451,1804595.505,656223.5845,0.421486063,91.25218659,0.099227823
710128.1288,5408794.451,1807874.583,656129.9105,0.537051229,90.18143691,0
711128.1288,5408794.451,1811153.643,656036.2309,0.563781313,205.7550164,0
712128.1288,5408794.451,1814432.686,655942.5457,0.487566477,203.4577259,0
713128.1288,5408794.451,1817711.711,655848.8548,0.350760922,189.3180907,0
714128.1288,5408794.451,1820990.719,655755.1583,0.33551938,674.8975574,0
715128.1288,5408794.451,1824269.709,655661.4562,0.45988741,1141.771179,0.154046655
716128.1288,5408794.451,1827548.682,655567.7486,0.551122693,1215.793538,0.154046655
717128.1288,5408794.451,1830827.636,655474.0353,0.606758759,830.6257299,0.017814994
718128.1288,5408794.451,1834106.573,655380.3164,0.597026078,98.18880991,0
719128.1288,5408794.451,1837385.492,655286.592,0.713110844,1.936782656,0
720128.1288,5408794.451,1840664.392,655192.862,0.785467244,1.181271634,0
721128.1288,5408794.451,1843943.275,655099.1264,0.857242376,0.026618049,0
722128.1288,5408794.451,1847222.139,655005.3852,0.81872431,1.8033954,0
723128.1288,5408794.451,1850500.985,654911.6385,0.741556283,299.2417943,0
724128.1288,5408794.451,1853779.813,654817.8862,0.701093715,454.9402441,0
725128.1288,5408794.451,1857058.622,654724.1284,0.682158712,34.0247678,0
726128.1288,5408794.451,1860337.412,654630.365,0.747687781,0.041917259,0
727128.1288,5408794.451,1863616.184,654536.5961,0.84628006,0,0
728128.1288,5408794.451,1866894.937,654442.8217,0.877954266,11.49444141,0.060878143
729128.1288,5408794.451,1870173.672,654349.0417,0.896528552,261.1571272,0.060878143
730128.1288,5408794.451,1873452.387,654255.2562,0.914906371,289.6558572,0
731128.1288,5408794.451,1876731.084,654161.4652,0.931006906,152.735144,0
732128.1288,5408794.451,1880009.761,654067.6687,0.953148323,1075.582574,0
733128.1288,5408794.451,1883288.42,653973.8667,0.95745042,1829.227264,0
734128.1288,5408794.451,1886567.059,653880.0592,0.972654214,1282.83737,0
735128.1288,5408794.451,1889845.679,653786.2462,0.970428066,1205.781523,0
698128.1288,5407794.451,1768430.929,653974.3572,0.106765881,98.38019694,0
699128.1288,5407794.451,1771710.187,653880.7618,0.131229197,143.738299,0
700128.1288,5407794.451,1774989.427,653787.1609,0.216937911,138.2727273,0
