X,Y,NAD_X,NAD_Y,FC,HFI,pop
425469.765,5385969.168,2322817.926,604313.3358,0.729158506,2387.921072,6.772205642
426469.765,5385969.168,2326095.702,604477.0812,0.668764165,2025.236453,1.774021174
427469.765,5385969.168,2329373.483,604640.8224,0.753073096,2472.434568,1.187770176
428469.765,5385969.168,2332651.27,604804.5593,0.894763366,1909.453783,0.19234284
429469.765,5385969.168,2335929.064,604968.292,0.946862405,1208.686896,0.278744357
430469.765,5385969.168,2339206.863,605132.0204,0.828387574,2637.285116,10.8290352
431469.765,5385969.168,2342484.669,605295.7446,0.522865487,3861.96612,16.17287548
432469.765,5385969.168,2345762.48,605459.4645,0.769188335,2468.16773,3.815446524
433469.765,5385969.168,2349040.297,605623.1801,0.95798209,2733.908876,1.206450681
434469.765,5385969.168,2352318.119,605786.8914,0.864353437,1967.49143,0.968645201
435469.765,5385969.168,2355595.948,605950.5985,0.732429675,414.2596171,0.004956441
436469.765,5385969.168,2358873.781,606114.3013,0.741845966,145.9099854,0
437469.765,5385969.168,2362151.62,606277.9997,0.809760866,837.5995261,6.096725464
438469.765,5385969.168,2365429.464,606441.6939,0.887900241,961.5033741,3.775372863
449469.765,5385969.168,2401486.079,608242.0448,0.876247534,3706.758106,0
450469.765,5385969.168,2404763.981,608405.687,0.932616938,4462.589865,0
451469.765,5385969.168,2408041.887,608569.3249,0.911839616,4075.776765,0
452469.765,5385969.168,2411319.797,608732.9584,0.950250331,1135.999453,0
453469.765,5385969.168,2414597.711,608896.5875,0.998783896,592.9795844,0
454469.765,5385969.168,2417875.63,609060.2123,0.976064927,941.9077988,0
455469.765,5385969.168,2421153.552,609223.8326,0.972695157,811.3135933,0
456469.765,5385969.168,2424431.478,609387.4486,0.995494294,964.993072,0
457469.765,5385969.168,2427709.408,609551.0602,0.999178772,1525.344953,0
458469.765,5385969.168,2430987.341,609714.6674,0.993312298,2220.410734,0.615070701
459469.765,5385969.168,2434265.279,609878.2702,0.816016527,3737.803685,2.564142108
460469.765,5385969.168,2437543.219,610041.8686,0.738146364,3950.244578,3.500434339
461469.765,5385969.168,2440821.163,610205.4626,0.738552567,2081.420918,0.536750048
462469.765,5385969.168,2444099.111,610369.0521,0.623510144,1780.606375,0.56561929
463469.765,5385969.168,2447377.062,610532.6373,0.88959309,1624.451048,0
464469.765,5385969.168,2450655.016,610696.218,0.999492876,702.5254423,0
465469.765,5385969.168,2453932.973,610859.7943,0.99938737,24.16532993,0
466469.765,5385969.168,2457210.933,611023.3662,0.999144238,11.25132034,0
467469.765,5385969.168,2460488.896,611186.9336,0.998618178,2.516393443,0
468469.765,5385969.168,2463766.862,611350.4966,0.997640767,2.168549563,0
469469.765,5385969.168,2467044.83,611514.0551,0.994500742,0.969519985,0
470469.765,5385969.168,2470322.802,611677.6092,0.969262864,2.478847557,0
471469.765,5385969.168,2473600.776,611841.1589,0.94248676,337.0536496,0.467641658
409469.765,5384969.168,2270538.246,598415.1774,0.997247106,3561.288241,0
410469.765,5384969.168,2273815.907,598578.9825,0.983172746,2297.809124,0
411469.765,5384969.168,2277093.575,598742.7834,0.99097224,1781.301605,0
412469.765,5384969.168,2280371.25,598906.5803,0.986069101,1635.774376,0
413469.765,5384969.168,2283648.933,599070.3731,0.99202554,1137.35795,0.201518312
414469.765,5384969.168,2286926.623,599234.1618,0.996449153,1054.675848,0.201518312
415469.765,5384969.168,2290204.321,599397.9464,0.966502777,2641.696041,1.595295303
416469.765,5384969.168,2293482.025,599561.7269,0.568895498,4069.10866,10.28267399
417469.765,5384969.168,2296759.736,599725.5033,0.282582265,5541.938593,33.78004283
418469.765,5384969.168,2300037.455,599889.2756,0.589692125,7066.569892,41.67133944
419469.765,5384969.168,2303315.18,600053.0437,0.664523116,5620.515113,30.30545028
420469.765,5384969.168,2306592.912,600216.8078,0.448618492,6964.054847,46.07333533
421469.765,5384969.168,2309870.651,600380.5677,0.438647217,7775.624407,149.7253536
422469.765,5384969.168,2313148.396,600544.3234,0.445954515,6779.562591,56.40307351
423469.765,5384969.168,2316426.148,600708.0751,0.34562077,5677.544858,10.37974475
424469.765,5384969.168,2319703.906,600871.8225,0.361606019,3878.984873,12.15806198
425469.765,5384969.168,2322981.671,601035.5659,0.451238991,2256.203097,7.595623414
426469.765,5384969.168,2326259.442,601199.3051,0.506974655,2639.388484,0.973787308
427469.765,5384969.168,2329537.219,601363.0401,0.651511065,2858.915755,0.793112159
428469.765,5384969.168,2332815.002,601526.7709,0.883928043,1810.56414,0.352367312
429469.765,5384969.168,2336092.792,601690.4976,0.972696831,1060.728251,0.36394241
430469.765,5384969.168,2339370.587,601854.2201,0.824508542,2958.200182,10.30803549
431469.765,5384969.168,2342648.388,602017.9384,0.598360919,4098.081588,6.676142713
432469.765,5384969.168,2345926.195,602181.6525,0.839970247,1311.780715,0.847586029
433469.765,5384969.168,2349204.008,602345.3625,0.818632867,2726.156752,2.410352768
434469.765,5384969.168,2352481.826,602509.0682,0.756012401,1932.690146,3.345111734
435469.765,5384969.168,2355759.65,602672.7698,0.699726171,116.1428571,0.139391795
436469.765,5384969.168,2359037.479,602836.4671,0.694124597,242.4580751,7.21E-13
437469.765,5384969.168,2362315.314,603000.1602,0.848789698,1010.012213,3.17239343
438469.765,5384969.168,2365593.154,603163.8491,0.846454616,1786.689825,5.744746628
439469.765,5384969.168,2368870.999,603327.5338,0.859647239,2113.424485,6.480113089
449469.765,5384969.168,2401649.721,604964.1474,0.873133822,4814.704939,0
450469.765,5384969.168,2404927.619,605127.7853,0.904506064,5065.559905,0
451469.765,5384969.168,2408205.521,605291.419,0.877894561,3692.8998,0.943372726
452469.765,5384969.168,2411483.426,605455.0483,0.946474418,1147.918003,3.801161766
453469.765,5384969.168,2414761.336,605618.6734,0.995037577,605.5734329,0
454469.765,5384969.168,2418039.25,605782.2942,0.998472912,1082.952207,0
455469.765,5384969.168,2421317.168,605945.9106,0.999526442,1053.142362,0
456469.765,5384969.168,2424595.09,606109.5228,0.998791242,882.2176449,0
457469.765,5384969.168,2427873.015,606273.1307,0.990623668,1272.594856,0
458469.765,5384969.168,2431150.945,606436.7342,0.929415195,1787.147236,1.119384925
459469.765,5384969.168,2434428.877,606600.3335,0.712644984,3901.69228,2.62847696
460469.765,5384969.168,2437706.814,606763.9284,0.751637256,2882.760933,1.467091918
461469.765,5384969.168,2440984.753,606927.5189,0.816009591,1304.150638,0
462469.765,5384969.168,2444262.697,607091.1052,0.725816851,1316.444546,0
463469.765,5384969.168,2447540.643,607254.6871,0.932854772,1236.170923,0
464469.765,5384969.168,2450818.592,607418.2647,0.998972971,1018.204338,1.10E-12
465469.765,5384969.168,2454096.545,607581.8379,0.99606929,69.71243618,1.10E-12
466469.765,5384969.168,2457374.501,607745.4068,0.990134778,0,0
467469.765,5384969.168,2460652.46,607908.9713,0.961389265,4.654820485,0
468469.765,5384969.168,2463930.421,608072.5314,0.953135395,181.7685016,0
469469.765,5384969.168,2467208.385,608236.0872,0.9947601,93.92652689,0
470469.765,5384969.168,2470486.352,608399.6387,0.997395318,0.372216137,0
471469.765,5384969.168,2473764.322,608563.1857,0.986385756,166.3229927,0.467641658
408469.765,5383969.168,2267424.4,594973.7212,0.994277541,3800.100747,0
409469.765,5383969.168,2270702.049,595137.5226,0.995907275,3102.687591,0
410469.765,5383969.168,2273979.706,595301.3201,0.975132513,985.5859175,0
411469.765,5383969.168,2277257.37,595465.1136,0.981976807,1050.494433,0.007081203
412469.765,5383969.168,2280535.041,595628.9031,0.999466151,1578.598797,0.004966941
413469.765,5383969.168,2283812.72,595792.6886,0.999370863,1453.708371,0.201518312
414469.765,5383969.168,2287090.406,595956.4701,0.997155902,1460.173501,0.105627108
415469.765,5383969.168,2290368.1,596120.2476,0.922046523,3228.222445,0.988337005
416469.765,5383969.168,2293645.8,596284.021,0.463797437,3659.533151,0.978018501
417469.765,5383969.168,2296923.507,596447.7904,0.413018156,5154.91981,24.52799011
418469.765,5383969.168,2300201.222,596611.5558,0.780662223,5414.414861,23.95946153
419469.765,5383969.168,2303478.943,596775.3172,0.807602311,5602.697157,37.00658703
420469.765,5383969.168,2306756.671,596939.0745,0.605118842,7493.165604,80.64949581
421469.765,5383969.168,2310034.405,597102.8277,0.284937221,8579.003467,171.0190969
422469.765,5383969.168,2313312.146,597266.5769,0.138829366,8283.020989,138.3354475
423469.765,5383969.168,2316589.894,597430.3221,0.301876639,6672.044161,25.4916368
424469.765,5383969.168,2319867.648,597594.0631,0.323658375,5207.783931,11.57024586
425469.765,5383969.168,2323145.409,597757.8001,0.254378515,4163.09457,9.172871624
426469.765,5383969.168,2326423.176,597921.5331,0.379546447,3427.986159,7.55979538
427469.765,5383969.168,2329700.949,598085.2619,0.601602531,2822.200875,3.139779735
428469.765,5383969.168,2332978.728,598248.9867,0.827074099,2123.514942,3.054987341
429469.765,5383969.168,2336256.513,598412.7074,0.889412456,1146.481502,0.704734623
430469.765,5383969.168,2339534.304,598576.4239,0.606272527,4019.041917,18.65466881
431469.765,5383969.168,2342812.101,598740.1364,0.52419235,4802.531062,20.0673542
432469.765,5383969.168,2346089.904,598903.8448,0.893329827,1928.068695,0.243229598
433469.765,5383969.168,2349367.713,599067.5491,0.604983088,4166.431802,2.334764274
434469.765,5383969.168,2352645.527,599231.2492,0.539595521,4343.982475,3.458268608
435469.765,5383969.168,2355923.346,599394.9453,0.7160804,1987.474539,2.73247385
436469.765,5383969.168,2359201.172,599558.6372,0.613982056,1033.42917,2.689065695
437469.765,5383969.168,2362479.002,599722.3249,0.73229265,797.7803279,1.776165791
438469.765,5383969.168,2365756.838,599886.0086,0.823515962,1647.070348,11.47898103
439469.765,5383969.168,2369034.679,600049.6881,0.728336489,3100.735241,15.04006498
440469.765,5383969.168,2372312.525,600213.3634,0.82683665,4662.332604,6.093486249
449469.765,5383969.168,2401813.359,601686.2543,0.944787477,4424.733928,0
450469.765,5383969.168,2405091.253,601849.8879,0.893948478,3466.83221,0.636853218
451469.765,5383969.168,2408369.15,602013.5173,0.838500409,2092.781381,1.392322731
452469.765,5383969.168,2411647.052,602177.1425,0.883041172,1696.913765,1.937962675
453469.765,5383969.168,2414924.957,602340.7636,0.951069995,1294.908279,0.572058558
454469.765,5383969.168,2418202.867,602504.3804,0.993111872,932.9369074,0
455469.765,5383969.168,2421480.781,602667.993,0.999435816,799.6694004,0
456469.765,5383969.168,2424758.698,602831.6013,0.999792283,839.2930563,0.502023458
457469.765,5383969.168,2428036.619,602995.2055,0.999261176,994.5417426,0
458469.765,5383969.168,2431314.544,603158.8054,0.881902047,2345.552516,2.128013372
459469.765,5383969.168,2434592.473,603322.401,0.743136776,4080.653236,2.718171582
460469.765,5383969.168,2437870.405,603485.9925,0.847937756,2063.960262,2.865711134
461469.765,5383969.168,2441148.34,603649.5797,0.930247954,820.137862,0
462469.765,5383969.168,2444426.279,603813.1626,0.826837071,1358.43529,0
463469.765,5383969.168,2447704.221,603976.7413,0.958379946,842.387179,0
464469.765,5383969.168,2450982.166,604140.3157,0.997438874,946.317171,0.020179061
465469.765,5383969.168,2454260.115,604303.8858,0.995895758,101.2227497,1.10E-12
466469.765,5383969.168,2457538.066,604467.4517,0.989831867,0,0
467469.765,5383969.168,2460816.02,604631.0133,0.963496881,30.1006381,0
468469.765,5383969.168,2464093.978,604794.5707,0.952193554,679.0895849,0
469469.765,5383969.168,2467371.938,604958.1237,0.99155689,617.8832635,0
470469.765,5383969.168,2470649.9,605121.6725,0.998569262,5.741800292,0
471469.765,5383969.168,2473927.866,605285.2169,0.99871044,124.9622745,0
408469.765,5382969.168,2267588.2,591696.078,0.984793802,3551.673897,0
409469.765,5382969.168,2270865.845,591859.8718,0.994238752,3458.130974,0
410469.765,5382969.168,2274143.498,592023.6618,0.989079337,2224.002737,0.039687529
411469.765,5382969.168,2277421.158,592187.4478,0.990253054,2862.813504,0.028063172
412469.765,5382969.168,2280698.825,592351.2299,0.989492493,3729.320335,0.014488868
413469.765,5382969.168,2283976.5,592515.0081,0.992705616,3966.192385,0.004840955
414469.765,5382969.168,2287254.182,592678.7824,0.978756096,4142.385134,0.07140246
415469.765,5382969.168,2290531.872,592842.5528,0.846311117,4157.02842,0.418320708
416469.765,5382969.168,2293809.568,593006.3191,0.388427346,2616.523888,0.74528629
417469.765,5382969.168,2297087.271,593170.0816,0.512026596,4234.384433,27.0951746
418469.765,5382969.168,2300364.982,593333.8401,0.821342719,5100.319541,25.14345868
419469.765,5382969.168,2303642.699,593497.5946,0.827723299,4725.194753,51.32867751
420469.765,5382969.168,2306920.423,593661.3452,0.7671534,6170.621671,99.69513035
421469.765,5382969.168,2310198.153,593825.0918,0.651005675,6768.309011,92.74637604
422469.765,5382969.168,2313475.89,593988.8344,0.384756731,7202.118978,30.94611295
423469.765,5382969.168,2316753.634,594152.5731,0.32949523,6010.854357,10.31798639
424469.765,5382969.168,2320031.384,594316.3078,0.367815663,5882.205866,3.785592437
425469.765,5382969.168,2323309.141,594480.0385,0.438861087,5999.826467,6.682837623
426469.765,5382969.168,2326586.904,594643.7652,0.538000731,5698.601823,11.10259342
427469.765,5382969.168,2329864.673,594807.4879,0.540736045,4609.024599,13.90673608
428469.765,5382969.168,2333142.448,594971.2065,0.693245547,2594.984139,11.39436408
429469.765,5382969.168,2336420.229,595134.9212,0.631979959,2416.818862,4.314514936
430469.765,5382969.168,2339698.016,595298.6319,0.312597235,5121.855866,9.963836066
431469.765,5382969.168,2342975.809,595462.3385,0.517108868,4578.132835,7.488315598
432469.765,5382969.168,2346253.608,595626.0412,0.933237496,1814.063183,0.214259461
433469.765,5382969.168,2349531.412,595789.7398,0.72472566,3381.762937,1.364504742
434469.765,5382969.168,2352809.222,595953.4343,0.400756686,5257.980853,7.597342734
435469.765,5382969.168,2356087.038,596117.1249,0.569785738,4481.263945,8.338617393
436469.765,5382969.168,2359364.859,596280.8113,0.545719102,2724.701348,5.37813139
437469.765,5382969.168,2362642.685,596444.4938,0.669386994,1035.71949,1.241910484
438469.765,5382969.168,2365920.517,596608.1721,0.720660396,2208.429196,14.46066909
439469.765,5382969.168,2369198.354,596771.8465,0.607504039,5180.158826,20.3890449
440469.765,5382969.168,2372476.196,596935.5167,0.769083338,5181.097339,11.16698732
