Detector,X,Y,sep,Effort
BS55,552982.0966,5275142.132,/,1
CD56,553232.0966,5272392.132,/,2
CE56,553232.0966,5272142.132,/,5
CE57,553482.0966,5272142.132,/,5
CF56,553232.0966,5271892.132,/,5
CF57,553482.0966,5271892.132,/,5
CH49,551482.0966,5271392.132,/,1
CI49,551482.0966,5271142.132,/,1
CI50,551732.0966,5271142.132,/,1
CR53,552482.0966,5268892.132,/,1
CS50,551732.0966,5268642.132,/,1
CS51,551982.0966,5268642.132,/,1
CS53,552482.0966,5268642.132,/,2
CS60,554232.0966,5268642.132,/,8
CS61,554478.8935,5268638.867,/,8
CT50,551732.0966,5268392.132,/,1
CT51,551982.0966,5268392.132,/,1
CT53,552482.0966,5268392.132,/,1
CT60,554232.0966,5268392.132,/,8
CT61,554482.0966,5268392.132,/,8
CU53,552482.0966,5268142.132,/,1
CU60,554232.0966,5268142.132,/,10
CV48,551232.0966,5267892.132,/,2
CV49,551482.0966,5267892.132,/,1
CV53,552482.0966,5267892.132,/,3
CV54,552732.0966,5267892.132,/,2
CV68,556239.6101,5267837.736,/,8
CV69,556383.3999,5267823.214,/,7
CW48,551232.0966,5267642.132,/,4
CW49,551482.0966,5267642.132,/,1
CW54,552732.0966,5267642.132,/,1
CW55,552982.0966,5267642.132,/,1
CW68,556232.0966,5267642.132,/,8
CW69,556438.8893,5267621.615,/,8
CX48,551232.0966,5267392.132,/,4
CX68,556232.0966,5267392.132,/,9
CX69,556474.6236,5267391.086,/,11
CY68,556232.4611,5267142.431,/,10
CY69,556482.0375,5267142.073,/,8
CY70,556632.0601,5267104.094,/,7
CZ67,556028.1456,5266823.375,/,7
CZ68,556232.7833,5266891.58,/,8
CZ69,556482.0966,5266892.132,/,7
CZ70,556646.3209,5266903.604,/,8
DA67,555983.6571,5266640.741,/,11
DA68,556232.0966,5266642.132,/,12
DA69,556461.177,5266658.307,/,10
DA70,556619.6772,5266748.188,/,8
DB67,555967.6143,5266461.114,/,8
DB68,556227.207,5266476.875,/,8
DB69,556395.9731,5266497.158,/,8
DE66,555669.5513,5265689.72,/,1
DF55,552982.0966,5265392.132,/,1
DF56,553232.0966,5265392.132,/,1
DJ57,553482.0966,5264392.132,/,4
DK57,553482.0966,5264142.132,/,4
DK65,555478.0592,5264136.661,/,7
DL65,555482.0966,5263892.132,/,7
DQ63,554982.0966,5262642.132,/,2
DQ64,555232.0966,5262642.132,/,2
DR63,554982.0966,5262392.132,/,2
DR64,555232.0966,5262392.132,/,2
DT70,556672.3812,5261878.679,/,2
DU70,556697.6872,5261645.918,/,2
DV70,556724.0358,5261383.934,/,2
X33,547482.1237,5286856.143,/,5
X34,547732.1237,5286856.258,/,5
X35,547982.1236,5286856.374,/,1
Y33,547482.0966,5286642.132,/,1
Y34,547732.0966,5286642.132,/,1
DA66,555722.8245,5266623.832,/,1
BI36,548232.0966,5277642.132,/,1
